name,orig_name,state,orig_county,established,continuous,stamp_index,coordinates,duration,latitude,longitude
ELKRIDGE,ELKRIDGE (2),MD,Howard,2000,True,0.0,True,21,39.19058,-76.74778
MIAMI BEACH,MIAMI BEACH,FL,Dade,1999,True,0.0,True,22,25.7844687,-80.1324894
FORT WASHINGTON,FORT WASHINGTON (2),MD,Prince Georges,1996,True,0.0,True,25,38.73084,-76.99165
BATESBURG-LEESVILLE,BATESBURG-LEESVILLE,SC,Lexington,1995,True,0.0,True,26,33.916532,-81.5134368
PARK HILLS,PARK HILLS,MO,St. Francois,1995,True,0.0,True,26,37.8507576,-90.5218437
MARCO ISLAND,MARCO ISLAND,FL,Collier,1994,True,0.0,True,27,25.9530973,-81.7224319
MERIDALE,MERIDALE,NY,Delaware,1994,True,0.0,True,27,42.3670035,-74.9528888
TYRONE,TYRONE,OK,Texas,1992,True,0.0,True,29,36.95486,-101.0697
PERU,PERU (2),ME,Oxford,1990,True,0.0,True,31,44.5211659,-70.4682455
LOUISBURG,LOUISBURG,MN,Lac Qui Parle,1988,True,0.0,True,33,45.16611,-96.17083
OCEAN SHORES,OCEAN SHORES,WA,Grays Harbor,1988,True,0.0,True,33,47.00688,-124.1564
BROWNLEE,BROWNLEE,NE,Cherry,1988,True,0.0,True,33,42.28805,-100.6257
DEWEESE,DEWEESE,NE,Clay,1987,True,0.0,True,34,40.35531,-98.13904
CROFTON,CROFTON,MD,Anne Arundel,1987,True,0.0,True,34,39.0098,-76.69993
BRUNING,BRUNING,NE,Thayer,1987,True,0.0,True,34,40.33639,-97.56581
FORT VALLEY,FORT VALLEY,VA,Shenandoah,1986,True,0.0,True,35,38.84531,-78.4159
HAYDEN,HAYDEN,ID,Kootenai,1986,True,0.0,True,35,47.75239,-116.7884
WENDOVER,WENDOVER,NV,Elko,1985,True,0.0,True,36,40.73521,-114.0458
GRUETLI-LAAGER,GRUETLI-LAAGER,TN,Grundy,1985,True,0.0,True,36,35.3684731,-85.6365455
WINDHAM,WINDHAM (2),ME,Cumberland,1985,True,0.0,True,36,43.8365919,-70.4381503
MOUNT TABOR,MOUNT TABOR,NJ,Morris,1985,True,0.0,True,36,40.8733247,-74.4792998
CHAMBERS,CHAMBERS,NE,Holt,1984,True,0.0,True,37,42.20496,-98.74838
LYNDEBOROUGH,LYNDEBOROUGH,NH,Hillsboro,1984,True,0.0,True,37,42.8730653,-71.7775561
RUSH VALLEY,RUSH VALLEY,UT,Tooele,1984,True,0.0,True,37,40.3548,-112.4543
GARLAND CITY,GARLAND CITY,AR,Miller,1983,True,0.0,True,38,33.3592151,-93.7106068
SANTA FE,SANTA FE,TX,Galveston,1983,True,0.0,True,38,29.37686,-95.09882
DELMAR,DELMAR,MD,Wicomico,1982,True,1.0,True,39,38.45595,-75.57742
RANCHES DE TAOS,RANCHES DE TAOS,NM,Taos,1982,True,0.0,True,39,36.3594,-105.6082
AMARGOSA VALLEY,AMARGOSA VALLEY,NV,Nye,1982,True,0.0,True,39,36.64384,-116.4003
KYKOTSMOVI VILLAGE,KYKOTSMOVI VILLAGE,AZ,Navajo,1982,True,0.0,True,39,35.87417,-110.6235
BETHESDA,BETHESDA (3),MD,Montgomery,1981,True,0.0,True,40,38.9784922,-77.0917627
ANTHONY,ANTHONY,TX,El Paso,1981,True,0.0,True,40,31.99927,-106.6055
LEEDS,LEEDS (2),ME,Androscoggin,1980,True,0.0,True,41,44.3021939,-70.1180106
GOULDSBORO,GOULDSBORO (2),ME,Hancock,1980,True,0.0,True,41,44.4717738,-68.0955733
KAW CITY,KAW CITY,OK,Kay,1979,True,0.0,True,42,36.76461,-96.86068
CORNWALL ON HUDSON,CORNWALL ON HUDSON,NY,Orange,1979,True,0.0,True,42,41.4443949,-74.0148608
CUSTER CITY,CUSTER CITY,OK,Custer,1979,True,0.0,True,42,35.66435,-98.88373
COLLEGE STATION,COLLEGE STATION,AR,Pulaski,1979,True,0.0,True,42,34.7074867,-92.2242365
TYBEE ISLAND,TYBEE ISLAND,GA,Chatham,1978,True,0.0,True,43,32.0150808,-80.8484699
SENECA ROCKS,SENECA ROCKS,WV,Pendleton,1978,False,0.0,True,43,38.83623,-79.38817
PURDYS,PURDYS,NY,Westchester,1977,True,0.0,True,44,41.3258056,-73.6553316
MASS CITY,MASS CITY,MI,Ontonagon,1977,True,0.0,True,44,46.76295,-89.07938
COLUMBIA,COLUMBIA (2),MD,Howard,1977,False,0.0,True,44,39.18356,-76.82197
RIVIERA,RIVIERA,AZ,Mohave,1976,True,0.0,True,45,35.09444,-114.6302
MOUNT HOOD-PARKDALE,MOUNT HOOD-PARKDALE,OR,Hood River,1976,True,0.0,True,45,45.51994,-121.5975
RESTON,RESTON,VA,Fairfax,1976,True,0.0,True,45,38.94758,-77.32954
WEYERHAEUSER,WEYERHAEUSER,WI,Rusk,1976,True,0.0,True,45,45.423,-91.41421
LANHAM-SEABROOK,LANHAM-SEABROOK,MD,Prince Georges,1976,True,0.0,True,45,38.96691,-76.84536
PARKER CITY,PARKER CITY,IN,Randolph,1975,True,0.0,True,46,40.18904,-85.20407
AVONDALE-GOODYEAR,AVONDALE-GOODYEAR,AZ,Maricopa,1975,True,0.0,True,46,33.43857,-112.3914
LOS OJOS,LOS OJOS,NM,Rio Arriba,1975,True,0.0,True,46,36.72938,-106.5719
MAGGIE VALLEY,MAGGIE VALLEY,NC,Haywood,1974,True,0.0,True,47,35.51846,-83.10009
HOWELL,HOWELL (2),NJ,Monmouth,1974,True,0.0,True,47,40.1513519,-74.2285445
EPSOM,EPSOM (2),NH,Merrimack,1974,True,0.0,True,47,43.2302022,-71.3604763
ELMWOOD PARK,ELMWOOD PARK,NJ,Bergen,1974,True,0.0,True,47,40.9070466,-74.1189713
EAST CARBON,EAST CARBON,UT,Carbon,1973,True,0.0,True,48,39.54351,-110.4208
CUSHING,CUSHING (2),ME,Knox,1973,True,0.0,True,48,43.999539,-69.2679859
MISSISSIPPI STATE,MISSISSIPPI STATE,MS,Oktibbeha,1973,True,0.0,True,48,33.4549384,-88.7861884
SODDY DAISY,SODDY DAISY,TN,Hamilton,1972,True,0.0,True,49,35.264696,-85.175678
LAKE ELSINORE,LAKE ELSINORE,CA,Riverside,1972,True,0.0,True,49,33.66934,-117.3331
ELM GROVE,ELM GROVE,LA,Bossier,1972,True,0.0,True,49,32.3492348,-93.5541349
WILTON,WILTON,IA,Muscatine,1972,True,0.0,True,49,41.58854,-91.01573
ALCOA CENTER,ALCOA CENTER,PA,Westmoreland,1972,True,0.0,True,49,40.5384,-79.6450454
WESTFIELD CENTER,WESTFIELD CENTER,OH,Medina,1971,True,0.0,True,50,41.02701,-81.93051
GARDENDALE,GARDENDALE,TX,Ector,1971,True,0.0,True,50,32.03449,-102.3825
MARION HEIGHTS,MARION HEIGHTS,PA,Northumberland,1971,True,0.0,True,50,40.8052297,-76.4657878
BOONEVILLE,BOONEVILLE,IA,Dallas,1971,True,0.0,True,50,41.5239876,-93.8842975
EAST  HANOVER,EAST  HANOVER,NJ,Morris,1971,True,0.0,True,50,40.8206912,-74.3669106
SIMI VALLEY,SIMI VALLEY,CA,Ventura,1971,True,0.0,True,50,34.28158,-118.7364
KINGDOM CITY,KINGDOM CITY,MO,Callaway,1970,True,0.0,True,51,38.9488454,-91.942331
BROGUE,BROGUE,PA,York,1970,True,0.0,True,51,39.8721171,-76.4848387
BARRINGTON,BARRINGTON (2),NH,Strafford,1970,True,0.0,True,51,43.2128042,-70.9987164
NORTH MYRTLE BEACH,NORTH MYRTLE BEACH,SC,Horry,1970,True,0.0,True,51,33.8227814,-78.6838355
UNIVERSAL CITY,UNIVERSAL CITY,TX,Bexar,1970,True,0.0,True,51,29.55095,-98.29421
MEDFORD,MEDFORD,NY,Suffolk,1969,True,0.0,True,52,40.8063355,-73.0024139
ENFIELD,ENFIELD (2),CT,Hartford,1969,True,0.0,True,52,41.9956124,-72.5718219
DRESDEN,DRESDEN (3),ME,Lincoln,1968,True,0.0,True,53,44.106738,-69.7243267
WHITEHALL,WHITEHALL,PA,Lehigh,1968,True,0.0,True,53,40.6439081,-75.4852739
DOGPATCH,DOGPATCH,AR,Newton,1968,True,1.0,True,53,36.1097964,-93.1348986
EDEN,EDEN,NC,Rockingham,1968,True,0.0,True,53,36.51075,-79.73821
HEALY,HEALY,AK,,1968,True,0.0,True,53,63.87647,-149.0166
EVERGLADES CITY,EVERGLADES CITY,FL,Collier,1968,True,0.0,True,53,25.8658489,-81.3831082
SPARKS-GLENCOE,SPARKS-GLENCOE,MD,Baltimore,1967,True,0.0,True,54,39.52953,-76.64577
NEW MANCHESTER,NEW MANCHESTER,WV,Hancock,1967,True,0.0,True,54,40.53141,-80.57913
POCONO SUMMIT,POCONO SUMMIT,PA,Monroe,1967,True,0.0,True,54,41.1089795,-75.4038098
STATE UNIVERSITY,STATE UNIVERSITY,AR,Craighead,1967,True,0.0,True,54,35.8415534,-90.6773209
ELDORADO,ELDORADO,WI,Fond du Lac,1967,True,0.0,True,54,43.82075,-88.62452
PIERRE PART,PIERRE PART (2),LA,Assumption,1967,True,0.0,True,54,29.9539916,-91.2123641
DEARBORN HEIGHTS,DEARBORN HEIGHTS,MI,Wayne,1967,True,0.0,True,54,42.32755,-83.29737
LENNI,LENNI,PA,Delaware,1967,True,0.0,True,54,39.8945842,-75.4475232
COLRAIN,COLRAIN (2),MA,Franklin,1967,True,0.0,True,54,42.6724989,-72.7002163
BURLINGTON,BURLINGTON (2),MA,Middlesex,1967,True,0.0,True,54,42.5042561,-71.1938165
WORTHINGTON SPRINGS,WORTHINGTON SPRINGS,FL,Union,1967,True,0.0,True,54,29.9306344,-82.4238715
